S18,W02,S18,W03,W02,W03,S18,W02,W03,temp,Day,Rep
156,3,126,153,5,170,101,2,103,Int,0,Int
146,5,140,194,2,200,118,5,81,Int,0,Int
152,2,128,153,2,186,88,1,116,Int,0,Int
,,,,,,76,3,96,Int,0,Int
,,,,,,97,1,118,Int,0,Int
,,,,,,98,3,82,Int,0,Int
53,13,,,62,194,9,7,11,10,4,1
50,31,40,50,40,209,37,12,20,10,4,2
,,2,19,111,78,10,15,10,10_30,4,1
20,6,18,16,127,177,9,29,10,10_30,4,2
27,15,101,41,158,204,7,19,8,20,4,1
12,19,24,17,145,180,12,14,4,20,4,2
,,,,,,,,,30,4,1
,,,,,,,,,30,4,2
12,3,15,12,77,78,,,,R,4,1
16,8,74,49,127,150,9,14,11,R,4,2
39,22,83,28,289,4,26,54,17,10,6,3
15,34,73,14,675,39,64,87,6,10,6,4
20,18,30,8,535,33,64,70,2,10_30,6,3
30,26,15,1,404,7,20,106,0,10_30,6,4
13,25,,,,,6,32,1,20,6,3
11,9,,,146,2,15,37,2,20,6,4
,,,,,,,,,30,6,3
,,,,,,,,,30,6,4
53,39,66,11,394,72,13,43,9,R,6,3
32,38,50,11,529,73,30,37,7,R,6,4
52,26,21,2,139,44,9,11,3,10,8,5
46,94,31,0,134,23,42,5,2,10,8,6
5,3,15,6,169,11,14,20,1,10_30,8,5
8,15,6,7,,,4,14,3,10_30,8,6
28,26,52,4,318,9,13,21,1,20,8,5
10,25,,,399,5,3,32,1,20,8,6
,,,,,,,,,30,8,5
,,,,,,,,,30,8,6
17,12,32,5,246,50,14,37,9,R,8,5
14,13,30,4,208,24,13,23,3,R,8,6
,,,,,,,,,10,10,1
9,2,7,1,121,7,13,14,1,10,10,2
,,14,0,113,11,2,13,0,10_30,10,1
17,17,8,1,154,12,13,10,0,10_30,10,2
3,6,14,2,77,3,4,9,0,20,10,1
7,9,7,1,96,7,1,10,0,20,10,2
,,79,0,,,,,,30,10,1
,,64,0,,,,,,30,10,2
16,5,20,0,97,10,,,,R,10,1
15,5,6,7,112,19,2,12,1,R,10,2
,,,,,,,,,10,12,3
14,1,,,6,17,,,,10,12,4
17,1,6,1,9,70,17,1,0,10_30,12,3
11,1,13,1,14,32,7,3,1,10_30,12,4
1,5,,,,,,,,20,12,3
2,1,,,85,7,,,,20,12,4
,,,,,,,,,30,12,3
,,,,,,,,,30,12,4
,,5,4,0,42,,,,R,12,3
,,6,2,5,62,,,,R,12,4
5,7,,,298,9,12,12,0,10,14,5
14,47,26,7,289,8,11,15,0,10,14,6
,,,,74,0,,,,10_30,14,5
,,,,35,0,,,,10_30,14,6
,,,,195,9,17,16,1,20,14,5
3,13,,,40,0,,,,20,14,6
,,,,,,,,,30,14,5
,,,,,,,,,30,14,6
7,3,,,26,4,,,,R,14,5
4,7,,,72,1,,,,R,14,6
3,10,9,2,94,3,,,,10,16,1
17,5,22,0,271,13,,,,10,16,2
,,,,58,0,,,,10_30,16,1
7,12,3,2,99,0,,,,10_30,16,2
,,,,58,0,,,,20,16,1
,,,,14,0,,,,20,16,2
,,,,,,,,,30,16,1
,,,,,,,,,30,16,2
,,,,,,,,,R,16,1
2,3,,,38,0,,,,R,16,2
38,4,21,11,66,2,54,39,1,10,18,3
32,26,20,10,177,20,39,52,2,10,18,4
5,1,,,16,0,,,,10_30,18,3
2,6,,,60,0,10,3,0,10_30,18,4
28,9,29,13,10,0,65,20,0,20,18,3
24,5,,,14,0,78,36,0,20,18,4
,,,,,,,,,30,18,3
,,,,,,,,,30,18,4
27,18,37,7,15,0,6,12,0,R,18,3
26,55,47,1,94,0,52,75,0,R,18,4
707,85,,,260,0,56,197,3,10,20,5
321,277,,,111,0,72,152,0,10,20,6
,,,,,,,,,10_30,20,5
,,,,,,,,,10_30,20,6
8,1,76,0,,,11,5,0,20,20,5
22,14,,,,,16,7,0,20,20,6
,,,,,,,,,30,20,5
,,,,,,,,,30,20,6
21,2,92,10,69,0,29,19,0,R,20,5
28,19,186,7,19,0,205,175,0,R,20,6
54,11,46,2,444,13,271,143,4,10,24,1
136,53,,,273,2,94,63,0,10,24,2
180,208,48,15,241,2,204,104,3,10,24,3
178,97,34,4,270,6,134,84,1,10,24,4
35,2,32,2,338,22,87,530,12,10,24,5
228,197,,,282,14,184,130,2,10,24,6
,,,,117,0,102,170,0,10_30,24,1
,,,,18,0,,,,10_30,24,2
,,,,23,0,,,,10_30,24,3
,,,,22,0,,,,10_30,24,4
,,,,57,0,,,,10_30,24,5
,,,,98,0,0,113,0,10_30,24,6
21,0,,,,,21,3,0,20,24,1
10,2,45,0,,,20,1,0,20,24,2
27,1,,,,,43,1,0,20,24,3
19,0,,,,,13,1,0,20,24,4
7,0,52,0,,,24,0,0,20,24,5
18,1,,,,,25,0,0,20,24,6
,,,,47,0,1,9,0,30,24,1
,,,,5,0,0,57,0,30,24,2
,,,,2,0,,,,30,24,3
,,,,2,0,,,,30,24,4
,,,,16,0,,,,30,24,5
,,,,23,0,0,22,0,30,24,6
,,,,,,12,0,0,R,24,1
,,,,,,4,0,0,R,24,2
,,,,,,,,,R,24,3
,,,,,,5,0,0,R,24,4
,,,,10,0,31,0,0,R,24,5
,,,,2,0,1,0,0,R,24,6
