"lnB0_Arr","Ea_Arr","Th_Arr","lnB0","Ea","Eh","Th","AIC","Rep","sp"
-1.4796085565864,0.798045637186473,301.15,-1.6320767862885,1.15123147873452,2.94110476550807,300.277834799485,4.67341375068438,1,"S18"
-1.35921847964694,0.284460023945186,301.15,-1.4373870842628,3,3.27184169775558,287.383157599439,25.4707165173719,2,"S18"
-1.5113920371474,0.699180954025177,301.15,-0.517014118840185,3,2.46384863727945,283.15,-6.49385964333539,3,"S18"
-1.60601485871569,0.421319935583231,301.15,-1.20110414312355,2.91251531662658,2.80004685463277,285.484617489831,24.9445669416222,4,"S18"
-1.59405028115431,0.8150025015899,301.15,-1.51325480619994,2.37354193309886,2.11373247248914,288.371239673146,5.30681545200791,5,"S18"
-1.30053731642267,0.227465639729106,301.15,-1.35843689094282,3,3.29868944021662,287.213071073636,26.5887960756049,6,"S18"
-1.54318607098166,1.23263682068386,295.15,-1.74301964757936,2.41107400909581,7.23056327679375,293.287874772858,17.3422506969036,1,"W02"
-1.68093391413917,1.28064002046199,288.15,-1.59500452941444,1.6318750245118,4.03890606084028,290.018901049206,-2.0038642699812,2,"W02"
-1.62098807089499,0.843962965247715,295.15,-1.62027188142201,0.842993026967523,11.9022137094792,298.924161965225,2.71821663139084,3,"W02"
NA,NA,NA,NA,NA,NA,NA,NA,4,"W02"
-2.00187060939581,0.45248215893272,301.15,-1.3087279655777,0.452484260525192,4.21096921065904e-06,301.15,28.1419427099255,5,"W02"
-1.26549366097419,0.720051052746152,288.15,-0.54671364297402,3,4.87124790986788,285.337282946853,20.6979877345919,6,"W02"
-0.987535265036457,0.254382105318165,295.15,-1.91715399984119,2.95576911715287,4.97358378376376,289.937788848248,20.3437978619891,1,"W03"
-1.26780329616715,0.216832524759626,298.15,-1.26780329816901,0.216832528361969,50.9224688587248,300.995430074073,1.03656328841192,2,"W03"
-1.14656627707635,0.0827046048612929,295.15,-1.15474639280397,0.0969740971729808,9.60537805457002,298.583087668446,-35.4217101101512,3,"W03"
-1.23103694607072,0.232109578356629,295.15,-1.04022352730962,2.31387866634543,3.57174943291233,287.422029506016,22.3399147470893,4,"W03"
-1.08584855915267,0.0496524110999153,295.15,0.269294973784987,3,3.55864992086738,283.15,23.9320510937131,5,"W03"
-1.46901689488062,0.481545575983986,295.15,-1.26726146561327,1.93584367582071,3.11967130603693,288.240730311704,22.8771982465675,6,"W03"
